sentence,clean_text,sentimen,label_sentimen
"Salah satu cabang hokben yang lama berdiri di surabaya, menempati area di salah satu pusat perbelanjaan di tengah kota surabaya yakni Surabaya Plaza lt Ground …","salah cabang hokben berdiri surabaya, menempati area salah pusat perbelanjaan kota surabaya surabaya plaza lt ground …",0.0,0
"Cukup bagus untuk tempat dan pelayananya. Lokasinya berada di lantai 1. Cukup bersih, dan pelayannya juga ramah. Terus ditingkatkan","bagus pelayananya. lokasinya lantai 1. bersih, pelayannya ramah. ditingkatkan",0.0,0
"Tempat nyaman karena tidak begitu ramai, pegawai ramah, pelayanan cukup cepat. Disini pesan Hokkaido Miso Ramen Reguler, rasanya enak tapi porsinya agak mini yaa","nyaman ramai, pegawai ramah, pelayanan cepat. pesan hokkaido miso ramen reguler, enak porsinya mini yaa",0.0,0
"Tempatnya dekat sama gokana dan gramedia. Paling suka disini salad nya sama mayonya bener bener enak pol!!. Kalo kesini sering beli hoka hemat, pelayanannya juga ramah dan cepat, pembayaran bisa pake tunai dan qris. Worth it banget makan disini!!","tempatnya gokana gramedia. suka salad nya mayonya bener bener enak pol!!. kalo kesini beli hoka hemat, pelayanannya ramah cepat, pembayaran pake tunai qris. worth it banget makan disini!!",0.471,1
"Ini aku makan sebelum PPKM di Jawa & Bali ya. Kita juga ttep ikutin prokes kok. Aku udah berkali” beli makan disini. Harganya juga affordable & Hokben ngk diragukan lagi udah pasti enak. Cuma sorry,agak kurang sama pelayanannya. Aku pesen 1 …","makan ppkm jawa & bali ya. ttep ikutin prokes kok. udah berkali” beli makan disini. harganya affordable & hokben ngk diragukan udah enak. sorry,agak pelayanannya. pesen 1 …",0.0,0
Tempatnya sangat bersih dan luas. Pelayanan nya sangat cepat dan memuaskan. Semua makanan dihidangkan dengan sangat fresh dan tetap hangat. Banyak pilihan menu yang bisa dipilih. Makanan jepang nya sudah disesuaikan dengan lidah orang …,tempatnya bersih luas. pelayanan nya cepat memuaskan. makanan dihidangkan fresh hangat. pilihan menu dipilih. makanan jepang nya disesuaikan lidah orang …,0.3182,1
"✓ selalu fresh dan yummii. ✓ daging tebal dan ga krasa pengawet, beda dgn daging frozen lainnya. ✓ menu baru ramen.. varian hokkaido miso enakk otentik, butter req pisah. …","✓ fresh yummii. ✓ daging tebal ga krasa pengawet, beda dgn daging frozen lainnya. ✓ menu ramen.. varian hokkaido miso enakk otentik, butter req pisah. …",0.3182,1
"Suasana tempatnya selalu lumayan rame kalau disini. Cocok juga untuk yang punya acara besar, seperti reuni, buka bersama (kalau lagi bulan puasa), atau ulang tahun bisa juga di tempat makan ini. Makanan dan minumannya ga perlu diragukan lagi lah yaa, pasti enaknya. Harga sesuai dengan masakkannya. Tempat bersih. Overall good~","suasana tempatnya lumayan rame disini. cocok acara besar, reuni, buka (kalau puasa), ulang makan ini. makanan minumannya ga diragukan yaa, enaknya. harga sesuai masakkannya. bersih. overall good~",0.0,0
"Makanan nya tetap terbaik, dan tidak berubah, segar dan tidak bikin eneg. Senang bisa kembali ke tempat dulu semasa kuliah di surabaya. Tempat pilihan …","makanan nya terbaik, berubah, segar bikin eneg. senang kuliah surabaya. pilihan …",0.0,0
"Tiap ke Delta slalu mampir! Mau lagiii, dan lagiii.. 😋 …","delta slalu mampir! lagiii, lagiii.. 😋 …",0.0,0
"Walaupun aku datang di jam makan malam, tapi tetep banyak kursi kosong yg tersisa. Jadi ga perlu bingung atau antri lama buat duduk. Karena ini fast food, pelayanannya juga cepat. Cuma sayang kebersihan lantainya kurang dijaga. Di depan …","jam makan malam, tetep kursi kosong yg tersisa. ga bingung antri duduk. fast food, pelayanannya cepat. sayang kebersihan lantainya dijaga. …",0.0,0
"Makanannya enak, tempat nyaman, pelayanan baik, harga wajar","makanannya enak, nyaman, pelayanan baik, harga wajar",0.0,0
HokBen selalu menjadi salah satu kesukaan kita sekeluarga. Kebetulan abis nonton bioskop trus laper....jadi kita maem disini dech. Tempatnya bersih dan pelayanannya baik. So.....thanks HokBen and all crew 😉🙏🏼 …,hokben salah kesukaan sekeluarga. abis nonton bioskop trus laper....jadi maem dech. tempatnya bersih pelayanannya baik. so.....thanks hokben and all crew 😉🙏🏼 …,0.0,0
"Makanan seperti biasa hokben ga pnh gagal ya. Selalu enak. Cuma.. Kemaren, pas makan disana, di lantai ada kecoak kecil. Saya krg tau apakah restonya yg krg bersih atau gimana.. Mgkn lbh diperhatikan ya.. Ini kali pertama setelah …","makanan hokben ga pnh gagal ya. enak. cuma.. kemaren, pas makan disana, lantai kecoak kecil. krg tau restonya yg krg bersih gimana.. mgkn lbh diperhatikan ya.. kali …",0.0,0
"Pesan paket Premium Set dengan pilihan daging sapi dan ayam. Paket Premium Set disajikan lengkap dengan salad ala Jepang, snack, dan minuman ocha. Untuk snack terdapat varian yang berbeda antara paket beef dan chicken. Pilihan saus beragam, …","pesan paket premium set pilihan daging sapi ayam. paket premium set disajikan lengkap salad ala jepang, snack, minuman ocha. snack varian berbeda paket beef chicken. pilihan saus beragam, …",0.0,0
"Pernah hari puasa datang ke sini, meja2 sisa pengunjung tidak langsung di bersihkan. Jadi sulit cari meja bersih. Tapi untuk hari2 biasa lumayan sepi. Penyuka bento wajib ke sini apalagi saladnya","puasa sini, meja2 sisa pengunjung langsung bersihkan. sulit cari meja bersih. hari2 lumayan sepi. penyuka bento wajib saladnya",0.0,0
Nunggu makanan lama sekali ...katanya 5 menit...masakan yang ada malah di kasih kan ke orang lain...pdhl sudah tunggu lama,nunggu makanan ...katanya 5 menit...masakan kasih orang lain...pdhl tunggu,0.0,0
for the food I really like it and spicy ramen large is one of my favorite meals ☺️ but I don't really like the service because it takes about 1 hour to order 1 meal and that takes a long time. 😀 …,for the food i really like it and spicy ramen large is one of my favorite meals ☺️ but i don't really like the service because it takes about 1 hour to order 1 meal and that takes a long time. 😀 …,0.764,1
"Payahhh mentang² saya baru pertama kali makan di hokben pesanan saya ga dikasih nasi, eh besoknya teman saya beli menu yang sama ternyata dikasih nasi🥴 …","payahhh mentang² kali makan hokben pesanan ga dikasih nasi, eh besoknya teman beli menu dikasih nasi🥴 …",0.0,0
sayang nggak ada wastafel. atau aku yang nggak tau ya?,sayang nggak wastafel. nggak tau ya?,0.0,0
"Terletak di lantai dasar, pojok, dekat ATM Center dan Gokana. Tempat luas dan bersih, pelayanan baik.","terletak lantai dasar, pojok, atm center gokana. luas bersih, pelayanan baik.",0.0,0
Both of service and food are good and also the place is so clean and neat. The salad is my fav😍💕 …,both of service and food are good and also the place is so clean and neat. the salad is my fav😍💕 …,0.8643,1
"Honestly, mostly foods are tasty. TAPI sometimes kualitas makanan ada yang kurang dijaga. Contoh salmon yg kurang segar jadi baunya amis-amis busuk, sup yang kadang tawar dll. Hari ini sy pesan Super Bowl karena promo dan NORI-nya waaah …","honestly, mostly foods are tasty. sometimes kualitas makanan dijaga. contoh salmon yg segar baunya amis-amis busuk, sup kadang tawar dll. sy pesan super bowl promo nori-nya waaah …",0.7845,1
✓ Best food ✓ Best service ✓ Best price …,✓ best food ✓ best service ✓ best price …,0.9274,1
Untuk rasa makanan khas Jepang ini semua pasti sudah tau jadi jangan ditanya lagi. Untuk tempat sih rekomen kalau mau menyendiri atau juga sambil ngobrol2 santai dengan teman karna tempatnya tidak terlalu ramai dan berada dipojokan delta …,makanan khas jepang tau lagi. sih rekomen menyendiri ngobrol2 santai teman karna tempatnya ramai dipojokan delta …,0.0,0
Baru pertama kali ke HokBen.. Menu baru fried chicken nya bau.. Sya pesen 4 pcs.. 2 nya bau.. Rasanya pun kalah jauh sama KFC.. Beef Yakinikunya juga biasa..,kali hokben.. menu fried chicken nya bau.. sya pesen 4 pcs.. 2 nya bau.. kalah kfc.. beef yakinikunya biasa..,0.0,0
Pelayanan nya terlalu lama masak pesan yg pertama malah di selat sama orang yg baru datang sedangkan saya nunggu udah 1 jam belum ada pelayanan,pelayanan nya masak pesan yg selat orang yg nunggu udah 1 jam pelayanan,0.0,0
"Tempatnya luas, suasana nyaman, pelayanan juga oke. Menu favoritku value set, soalnya dah dapet lauk+salad, nasi, ocha & sup juga. Menu untuk anak-anak juga ada lho.","tempatnya luas, suasana nyaman, pelayanan oke. menu favoritku value set, dah dapet lauk+salad, nasi, ocha & sup juga. menu anak-anak lho.",0.34,1
"Salah satu tenant restoran di Plaza Surabaya yang sudah tidak asing di telinga kita. HOKA-HOKA BENTO, masakan ala Jepang ini sudah terkenal. salah satunya di Plaza Surabaya. …","salah tenant restoran plaza surabaya asing telinga kita. hoka-hoka bento, masakan ala jepang terkenal. salah satunya plaza surabaya. …",0.0,0
Selalu jadi makanan favorit.. Paling suka pesan menu hoka hemat dan menu value set karena sudah dapat minuman ocha. Tempatnya tidak terlalu ramai dan selalu ada tempat kosong disana. Untuk pelayanan kadang sangat lama karena yang melayani kadang hanya 2 orang saja (bagian pemesanan dan kasir). Untuk pelayanan perlu diperbaiki lagi.,makanan favorit.. suka pesan menu hoka hemat menu value set minuman ocha. tempatnya ramai kosong disana. pelayanan kadang melayani kadang 2 orang (bagian pemesanan kasir). pelayanan diperbaiki lagi.,0.34,1
"Menu khas ala² japan yg banyak di suka anak² dan remaja bahkan orang tua....masalah suka dan tidak itu selera, tapi ini lumayan bagi yg suka jajan kalo pas bosen menu nusantara 😁 😁 😁 …","menu khas ala² japan yg suka anak² remaja orang tua....masalah suka selera, lumayan yg suka jajan kalo pas bosen menu nusantara 😁 😁 😁 …",0.0,0
"Gatau kenapa tapi rasanya lebih enak dri hokben lainnya, pegawainya ramah yg di mall sebelah pegawainya jutek","gatau enak dri hokben lainnya, pegawainya ramah yg mall sebelah pegawainya jutek",0.0,0
